control_point,x_image,y_image,longitude,latitude,original_toponym,present_toponym,map,mapwarper_link,image_link
22,3199.317568,1324.590389,32.6335144,25.70668362,[illegible],"Luxor, Egypt",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
23,2597.736486,3091.734815,9.150238037,42.14997549,Corsica,"Corsica, France",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
24,1971.374367,2696.187635,12.23739624,44.42520333,Ravenna,"Ravenna, Italy",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
25,2114.07897,2350.10761,23.75106811,37.97803811,[illegible],"Athens, Greece",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
26,1762.444573,3538.55307,2.426605225,48.82467693,Parisius,"Paris, France",Ebstorf Map,"<a href=""https://mapwarper.net/maps/16339"" target=""_blank"">View in MapWarper</a>","<a href=""https://commons.wikimedia.org/wiki/File:Ebstorfer_Weltkarte.jpg"" target=""_blank"">View image</a>"
1,1319.728125,1107.767188,35.23225307,31.77836171,Hierusalem,Jerusalem,Fra Mauro,"<a href=""https://mapwarper.net/maps/41846"" target=""_blank"">View in MapWarper</a>","<a href=""https://en.wikipedia.org/wiki/Fra_Mauro_map#/media/File:Fra_Mauro_World_Map,_c.1450.jpg"" target=""_blank"">View image</a>"
2,845.7057292,963.2453125,77.22955227,28.59874665,Deli,"New Delhi, India",Fra Mauro,"<a href=""https://mapwarper.net/maps/41846"" target=""_blank"">View in MapWarper</a>","<a href=""https://en.wikipedia.org/wiki/Fra_Mauro_map#/media/File:Fra_Mauro_World_Map,_c.1450.jpg"" target=""_blank"">View image</a>"
3,1115.807292,1723.739063,28.20306301,53.54340586,Rossia Biancha,Belarus,Fra Mauro,"<a href=""https://mapwarper.net/maps/41846"" target=""_blank"">View in MapWarper</a>","<a href=""https://en.wikipedia.org/wiki/Fra_Mauro_map#/media/File:Fra_Mauro_World_Map,_c.1450.jpg"" target=""_blank"">View image</a>"
4,1402.980208,1339.282813,33.6303091,44.30399605,Pontvs Eusinvs,Black Sea,Fra Mauro,"<a href=""https://mapwarper.net/maps/41846"" target=""_blank"">View in MapWarper</a>","<a href=""https://en.wikipedia.org/wiki/Fra_Mauro_map#/media/File:Fra_Mauro_World_Map,_c.1450.jpg"" target=""_blank"">View image</a>"
5,1953.005208,1082.978646,-5.568909645,35.9199702,Gibraltar,Gibraltar,Fra Mauro,"<a href=""https://mapwarper.net/maps/41846"" target=""_blank"">View in MapWarper</a>","<a href=""https://en.wikipedia.org/wiki/Fra_Mauro_map#/media/File:Fra_Mauro_World_Map,_c.1450.jpg"" target=""_blank"">View image</a>"
6,1468.927083,1265.384896,29.0599966,41.07499998,Constantinople,"Istanbul, Turkey ",Fra Mauro,"<a href=""https://mapwarper.net/maps/41846"" target=""_blank"">View in MapWarper</a>","<a href=""https://en.wikipedia.org/wiki/Fra_Mauro_map#/media/File:Fra_Mauro_World_Map,_c.1450.jpg"" target=""_blank"">View image</a>"
